word,emotion
abhor,3
abhor,4
abhorr,4
abhorrence,4
abhorrent,3
abhorrent,4
abomin,4
abominably,4
abominate,4
abomination,3
abomination,4
admir,1
admirable,1
admirably,1
admiration,1
admire,1
ador,1
adorably,1
adoration,1
adoring,1
affect,1
affection,1
affectional,1
affectionate,1
affectionateness,1
affective,1
affright,3
afraid,3
aggrav,4
aggravate,4
aggravated,4
aggravation,4
aggress,4
aggression,3
aggression,4
aggressive,3
aggressive,4
aggressiveness,4
aggriev,2
aggrieve,2
alarm,1
alarm,3
alarmed,3
alert,3
amat,1
amative,1
amatori,1
amatory,1
amaz,1
amaze,1
amazed,1
amazement,1
amazing,1
amazingly,1
amic,1
amicability,1
amicable,1
amicableness,1
amicably,1
amok,4
amor,1
amorous,1
amorousness,1
amuck,4
anger,4
angered,4
angri,4
angrili,4
angrily,4
angry,4
animos,4
animosity,0
animus,4
annoy,4
annoyance,4
annoyed,4
annoying,4
antagon,4
antagonism,4
anticip,1
anticipate,1
anticipation,1
anxious,1
anxious,3
anxiously,3
appal,3
appall,3
appreci,1
appreciated,1
apprehens,3
apprehension,3
apprehensive,1
apprehensive,3
apprehensively,3
apprehensiveness,3
approb,1
approbative,1
approbatori,1
approbatory,1
approv,1
approval,1
approve,1
approved,1
approving,1
ardor,1
ardour,1
astoni,1
astonied,1
astonish,1
astonished,1
astonishing,1
astonishingly,1
astonishment,1
astound,1
astounded,1
astounding,1
atroci,3
atrocious,3
atrocious,4
attach,1
attachment,1
attrit,2
attrition,2
avarici,4
avaricious,4
avid,1
avidity,1
avidness,1
aw,1
aw,3
awe,1
awed,1
awestricken,1
awestruck,1
awful,0
awfully,3
bad,0
bad_blood,4
bad_temp,4
bad_temper,4
baffl,1
baffl,4
baffle,1
baffled,4
balk,4
balked,4
bang,0
banter,1
barrack,1
bash,3
bashfully,3
be_on_cloud_nin,1
be_on_cloud_nine,1
beam,1
beaming,1
beat,1
becharm,1
bedevil,4
begrudg,4
begrudge,4
begrudging,4
beguil,1
beguile,1
beguiled,1
belliger,4
belligerence,4
belligerency,4
belligerent,3
belligerent,4
belligerently,4
belong,1
belonging,1
benef,1
benefic,1
beneficed,1
beneficence,1
beneficent,1
benefici,1
beneficially,1
benevol,1
benevolence,1
benevolent,1
benevolently,1
bereav,2
bereaved,2
bereft,2
besot,1
bewild,1
bewilder,1
bewitch,1
bewitching,1
bitter,4
bitterness,2
bitterness,4
blith,1
blithely,1
blitheness,1
blue,2
blue_devil,2
blue_devils,2
bode,3
boding,3
bonheur,1
bore,2
bored,2
bother,4
bothersom,4
bothersome,4
brokenhearted,2
brokenheartedness,2
brood,4
brother,1
brotherhood,1
brotherlik,1
brotherlike,1
brotherly,1
browbeaten,3
bulli,3
bullied,3
buoyanc,1
buoyancy,1
calf_lov,1
calf_love,1
captiv,1
captivate,1
captivated,1
captivating,1
captivation,1
captur,1
capture,1
care,1
carefre,1
carefree,1
carefreeness,1
caring,1
cast_down,2
catch,1
chafe,4
chaff,0
charg,1
charge,1
charit,1
charitable,1
charm,1
charmed,1
cheer,1
cheer_up,1
cheerful,1
cheerfully,1
cheerfulness,1
cheeri,1
cheering,1
cheerless,2
cheerlessly,2
cheerlessness,2
cheery,1
chill,3
chilling,3
chirk_up,1
choler,4
choleric,4
churn_up,4
class_feel,4
class_feeling,4
cliff-hang,1
cliff-hang,3
cliff-hanging,1
cliff-hanging,3
close,1
closeness,1
coldhearted,3
coldheartedness,3
comfort,1
comfortable,1
comfortableness,1
comfortably,1
comforting,1
commend,1
commendable,1
compat,1
compatibility,1
compatible,1
compatibly,1
complac,1
complacence,1
complacency,1
complacent,1
compunct,2
compunction,2
concern,1
congratul,1
congratulate,1
consol,1
console,1
console,2
constern,3
consternation,3
consternation,4
contemn,4
content,1
contented,1
contentment,1
contrit,2
contrite,2
contritely,2
contriteness,2
contrition,2
covet,4
covetous,4
covetously,4
covetousness,4
cow,3
cowed,3
cower,3
crawl,3
crawl,4
creep,3
creeps,3
cring,3
cringe,0
crucifi,4
crucify,4
cruel,0
cruelli,3
cruelly,3
cruelly,4
cruelti,3
cruelty,0
crush,1
dander,4
dark,2
dash,3
daunt,3
daze,1
dazed,1
deject,2
delight,1
delighted,1
demor,2
demoralis,2
demoralising,2
demoralization,2
demoralize,2
demoralized,2
demoralized,3
demoralizing,2
deplor,2
deplorable,0
deplorably,2
depress,2
depress,3
depressed,0
depressing,2
depressing,4
depression,2
depressive,2
desol,2
desolate,2
desolation,2
desolation,3
despair,0
despairingly,2
despis,4
despisal,4
despise,4
despising,4
despit,4
despiteful,4
despond,2
despondence,2
despondency,2
despondent,2
despondently,2
detest,4
detestable,4
detestably,4
detestation,4
devil,0
devot,1
devoted,1
devotedness,1
devotion,1
diffid,3
diffidence,3
diffident,3
diffidently,3
dingi,2
dingy,2
dire,0
direful,3
disconsol,2
disconsolate,2
disconsolateness,2
discourag,2
discourag,4
discouraged,2
discouraged,4
disdain,4
disgust,0
disgusted,4
disgustedly,4
disgustful,4
disgusting,3
disgusting,4
disgustingly,4
dishearten,2
disheartened,2
disheartening,2
dismal,0
dismay,0
dispirit,2
dispirited,2
dispiritedness,2
dispiriting,2
displeas,4
displease,4
displeased,0
displeasing,4
displeasingly,4
displeasur,4
displeasure,4
distast,4
distasteful,4
distastefully,4
distress,0
distressed,2
distressed,3
dole,2
doleful,2
dolefully,2
dolefulness,2
dolor,2
dolorous,2
dolour,2
dolourous,2
down,2
downcast,2
downheart,2
downhearted,2
downheartedness,2
downtrodden,2
drab,2
dread,1
dread,3
dreaded,3
dreadful,0
dreadfully,0
drear,2
dreari,2
dreary,2
dudgeon,4
dumbfound,1
dumbfounded,1
dumfound,1
dumfounded,1
dun,4
dysphor,2
dysphoria,2
dysphoric,2
eager,1
eagerly,1
eagerness,1
ebulli,1
ebullient,1
ebulliently,1
elan,1
elat,1
elate,1
elated,1
elating,1
elation,1
embolden,1
emot,1
emotive,1
empath,1
empathet,1
empathetic,1
empathetically,1
empathi,1
empathic,1
empathy,1
enamor,1
enamored,1
enamoredness,1
enamour,1
enchant,1
enchanting,1
enchantment,1
endear,1
endearingly,1
enfuri,4
enfuriate,4
enjoy,1
enmiti,4
enmity,0
enrag,4
enraged,4
enragement,4
enthral,1
enthralled,1
enthralling,1
enthrallment,1
enthusiasm,1
enthusiast,1
enthusiastic,1
enthusiastically,1
entranc,1
entrance,1
entranced,1
entrancing,1
envi,4
enviabl,4
enviable,4
enviably,4
envious,4
enviously,4
enviousness,4
envy,4
esteem,1
esteem,2
euphor,1
euphori,1
euphoria,1
euphoriant,1
euphoric,1
evil,0
exacerb,4
exacerbate,4
exalt,1
exasper,4
exasperate,4
exasperating,4
exasperation,4
excit,1
excitement,1
exciting,1
execr,2
execr,4
execrable,2
execrate,4
execration,4
exhilar,1
exhilarate,1
exhilarated,1
exhilarating,1
exhilaration,1
exhort,1
expans,1
expansively,1
expect,1
expectancy,1
exuber,1
exuberance,1
exuberant,1
exuberantly,1
exult,1
exultant,1
exultantly,1
exultation,1
exulting,1
exultingly,1
fanci,1
fancy,1
fantast,1
fantastic,1
fascin,1
fascinate,1
fascinating,1
fascination,1
favor,1
favorable,1
favorably,1
favour,1
favourable,1
favourably,1
fawn,3
fear,3
fear,4
fearful,2
fearful,3
fearfully,0
fearfulness,3
fearsom,3
fearsome,3
fed_up,4
feeling_of_ident,1
feeling_of_identity,1
fellow_feel,1
fellow_feeling,1
festal,1
festiv,1
festive,1
fit,4
flabbergast,1
flabbergasted,1
flummox,1
flush,1
fond,1
fond_regard,1
fondly,1
fondness,1
forebod,3
foreboding,1
foreboding,3
forlorn,2
forlornly,2
forlornness,2
foul,3
foul,4
fratern,1
fraternal,1
friend,1
friendli,1
friendliness,1
friendly,1
fright,1
fright,3
frighten,0
frighten_away,3
frighten_off,3
frightened,1
frightened,3
frightening,3
frighteningly,3
frightful,0
frustrat,4
frustrate,2
frustrate,4
frustrated,4
frustrating,4
frustration,4
fulfil,1
fulfill,1
fulfillment,1
fulfilment,1
furi,4
furious,4
furiously,4
fury,0
gaieti,1
gaiety,1
gala,1
gall,4
galling,4
gay,1
gayli,1
gayly,1
get,1
get_at,4
get_down,2
get_to,4
giving_protect,1
giving_protection,1
glad,1
gladden,1
gladdened,1
gladfulness,1
gladness,1
gladsom,1
gladsome,1
gladsomeness,1
glee,1
gleeful,1
gleefulli,1
gleefully,1
gleefulness,1
gloat,1
gloating,1
gloatingly,1
gloom,2
gloomful,2
gloomi,2
gloomili,2
gloomily,2
gloominess,2
glooming,2
gloomy,2
glum,2
godforsaken,2
good,1
good_wil,1
good_will,1
goodwil,1
goodwill,1
grabbi,4
grabby,4
grasp,4
grasping,1
grasping,4
gratifi,1
gratify,1
gratifying,1
gratifyingly,1
gravel,1
gravel,4
great,1
greedi,4
greedy,4
green-ey,4
green-eyed,4
green-eyed_monst,4
green-eyed_monster,4
grief,2
grief-stricken,2
griev,2
grievanc,4
grievance,2
grievance,4
grieve,2
grieve,3
grieving,2
grievous,0
grievously,2
grim,0
grizzl,4
grizzle,4
grovel,3
grudg,4
grudge,4
grudging,4
guilt,2
guilt,4
guilt_feel,2
guilt_feelings,2
guilt_trip,2
guilti,2
guilty,2
guilty,4
guilty_consci,2
guilty_conscience,2
gusto,1
hackl,4
hackles,4
hangdog,2
hangdog,3
hapless,2
happi,1
happili,1
happily,1
happiness,1
happy,1
harass,2
harass,4
harassed,4
harassment,4
hardheart,3
hardhearted,3
hardheartedness,3
harri,4
harried,4
hate,0
hateful,0
hatefully,4
hatr,4
hatred,0
heart,1
heartach,2
heartache,2
heartbreak,2
heartbreaking,2
heartburn,4
heartburning,4
hearten,1
heartless,2
heartless,3
heartlessly,3
heartlessness,3
heartrend,2
heartrending,2
heartsick,2
heartsickness,2
heavyheart,2
heavyhearted,2
heavyheartedness,2
helpless,2
helpless,3
helplessness,2
helplessness,3
hero_worship,1
hesit,3
hesitance,3
hesitancy,3
hesitantly,3
hesitatingly,3
hideous,0
hideously,3
high_dudgeon,4
high_spirit,1
high_spirits,1
high-spirit,1
high-spirited,1
hilar,1
hilari,1
hilarious,1
hilariously,1
hilarity,1
horrend,3
horrendous,3
horribl,3
horrible,3
horrible,4
horribly,3
horrid,0
horridly,3
horrif,3
horrifi,3
horrific,0
horrified,3
horrify,3
horrifying,0
horrifyingly,3
horror,0
horror-stricken,3
horror-struck,3
hostil,4
hostile,3
hostile,4
hostilely,4
hostility,4
howl,0
howling,1
huffi,4
huffili,4
huffily,4
huffiness,4
huffish,4
huffishness,4
huffy,4
hyster,3
hysteria,3
hysterical,3
hysterical,4
hysterically,3
identif,1
identifi,1
identification,1
identify,1
ill_temp,4
ill_temper,4
ill_wil,4
ill_will,4
impress,1
in_awe_of,1
incens,4
incense,4
incensed,4
indign,4
indignant,4
indignantly,4
indignation,4
infatu,1
infatuation,1
infuri,4
infuriate,4
infuriated,4
infuriating,4
infuriation,4
insouci,1
insouciance,1
inspir,1
inspire,1
interest,1
intimaci,1
intimacy,1
intimid,3
intimidate,3
intimidated,3
intimidation,3
intimidation,4
intox,1
intoxicate,1
irasc,4
irascibility,4
irascible,4
ire,4
irrit,4
irritate,4
irritated,4
irritating,4
irritation,2
irritation,4
jealous,4
jealousi,4
jealously,4
jealousy,0
jocular,1
jocularity,1
jocund,1
jocundity,1
jolli,1
jolliti,1
jollity,1
jolly,1
jolly_along,1
jolly_up,1
jovial,1
joviality,1
joy,1
joyful,1
joyfully,1
joyfulness,1
joyless,2
joylessly,2
joylessness,2
joyous,1
joyously,1
joyousness,1
jubil,1
jubilance,1
jubilancy,1
jubilant,1
jubilantly,1
jubilate,1
jubilation,1
jump_for_joy,1
keen,1
keenness,1
kick,1
kick,4
kid,1
kind,1
kindheart,1
kindhearted,1
kindheartedness,1
kindly,1
lachrymos,2
lachrymose,2
laden,2
lament,0
lamentably,2
laudabl,1
laudably,1
lift_up,1
lighthearted,1
lightheartedness,1
lightsom,1
lightsomeness,1
likabl,1
likable,1
like,1
likeabl,1
likeable,1
liking,1
live_up_to,1
livid,4
lividity,4
lividly,4
loath,4
loathe,4
loathing,4
loathly,4
loathsom,4
loathsome,4
loneli,2
loneliness,2
loneliness,3
long-fac,2
long-faced,2
look_for,1
look_to,1
look_up_to,1
lorn,2
love,1
lovesom,1
lovesome,1
loving,1
lovingly,1
lovingness,1
low,2
low-spirit,2
low-spirited,2
low-spiritedness,2
loyalti,1
loyalty,1
mad,0
madden,3
madden,4
maddened,4
maddening,4
madness,3
madness,4
malef,4
malefic,4
maleficence,4
malevol,4
malevolence,4
malevolent,0
malevolently,4
malic,4
malice,3
malice,4
malici,4
malicious,0
maliciously,4
maliciousness,4
malign,4
malignity,4
marvel,1
marvellously,1
marvelous,1
marvelously,1
melanchol,2
melancholi,2
melancholic,2
melancholy,2
merciless,3
mercilessness,3
merri,1
merrili,1
merrily,1
merriment,1
merry,1
mirth,1
mirthful,1
mirthfully,1
mirthfulness,1
misanthrop,4
misanthropi,4
misanthropic,4
misanthropical,4
misanthropy,4
miser,2
miserable,2
miserable,4
miserably,2
miseri,2
misery,0
misfortun,2
misfortunate,2
misocainea,4
misogami,4
misogamy,4
misogyn,4
misogyni,4
misogynic,4
misogynism,4
misogyny,4
misolog,4
misology,4
mison,4
misoneism,4
misopedia,4
monstrous,3
monstrously,3
mourn,2
mournful,0
mournfully,2
mournfulness,2
mourning,2
move,1
murder,0
murderously,4
murderousness,4
mystifi,1
mystify,1
nark,4
nausea,4
nauseat,4
nauseate,4
nauseated,4
nauseating,4
nauseous,2
nauseous,4
near,1
nettl,4
nettle,4
nettled,4
nettlesom,4
nettlesome,4
nigh,1
noisom,4
noisome,4
nonplus,1
obscen,4
obscene,4
occupi,1
occupy,1
odious,3
odious,4
odiously,4
odium,4
offend,4
offens,4
offense,0
offensive,4
offering_protect,1
offering_protection,1
oppress,0
oppressed,2
oppression,0
oppressive,0
oppressively,2
oppressiveness,2
outrag,3
outrag,4
outrage,4
outraged,4
outrageous,1
outrageous,3
overjeal,4
overjealous,4
pall,3
panic,3
panic_attack,3
panic-stricken,3
panic-struck,3
panick,3
panicked,3
panicki,3
panicky,3
partial,1
partiality,1
pathet,2
pathetic,2
pathetic,4
peev,4
peeved,4
penanc,2
penance,2
penance,3
penchant,1
penit,2
penitence,2
penitent,2
penitenti,2
penitentially,2
penitently,2
pep_up,1
perki,1
perkiness,1
perplex,1
persecut,2
persecut,4
persecute,0
persecuted,2
peski,4
pesky,4
pester,4
pestered,4
pestering,4
pestifer,4
pestiferous,4
pick_up,1
piqu,4
pique,4
piss,4
pissed,4
piteous,2
piti,2
pitiabl,2
pitiable,2
pitiful,2
pitiless,3
pitilessness,3
pitying,2
plaguey,4
plaguy,4
plaintiv,2
plaintive,2
plaintively,2
plaintiveness,2
pleas,1
pleased,1
pleasing,1
poor,2
pout,4
praiseworthili,1
praiseworthily,1
predilect,1
predilection,1
preen,1
prefer,1
preference,1
prehensil,4
prehensile,4
premonit,3
premonition,3
presag,3
presage,3
presenti,3
presentiment,3
pride,1
prideful,1
protect,1
protective,1
protectively,1
protectiveness,1
proud,1
proudly,1
provok,4
provoked,4
puppy_lov,1
puppy_love,1
puzzl,1
puzzle,1
queasi,4
queasy,4
quick_temp,4
quick_temper,4
rag,4
rage,4
rancor,4
rancour,4
rapport,1
rattl,1
rattling,1
recreat,1
recreate,1
regard,1
regret,2
regretful,2
rejoic,1
rejoice,1
rejoicing,1
relish,1
remors,2
remorse,2
remorseful,2
remorsefully,2
repel,4
repellant,3
repellant,4
repellent,3
repellent,4
repent,2
repent,3
repentance,2
repentant,2
repentantly,2
repugn,4
repugnance,4
repugnant,4
repuls,4
repulse,4
repulsion,3
repulsion,4
repulsive,4
repulsively,4
resent,4
resentful,4
resentfully,4
resentment,2
resentment,4
respect,1
revel,1
reveng,4
revengefully,4
revolt,1
revolt,4
revolting,3
revolting,4
revoltingly,4
revuls,4
revulsion,3
revulsion,4
rile,4
riled,4
riotous,0
riotously,1
roil,4
roiled,4
romant,1
romantic,1
rue,2
rueful,2
ruefulli,2
ruefully,2
ruefulness,2
rush,1
ruth,2
ruthfulness,2
ruthless,3
ruthless,4
ruthlessness,3
sad,2
sadden,2
saddening,2
sadly,2
sadness,1
sadness,2
satiabl,1
satiable,1
satisfact,1
satisfaction,1
satisfactori,1
satisfactorili,1
satisfactorily,1
satisfactory,1
satisfi,1
satisfiable,1
satisfied,1
satisfy,1
satisfying,1
satisfyingly,1
scare,0
scare_away,3
scare_off,3
scared,3
scarey,3
scari,3
scarili,3
scarily,3
scary,3
scene,4
schadenfreud,1
schadenfreude,1
score,1
score,4
scorn,4
scream,0
screaming,0
see_r,4
see_red,4
self-complac,1
self-complacency,1
self-distrust,3
self-doubt,3
self-piti,2
self-pity,2
self-reproach,2
self-satisfact,1
self-satisfaction,1
self-satisfi,1
self-satisfied,1
shadow,3
shame,0
shamed,2
shamefac,2
shamefaced,2
shi,3
shiveri,3
shivery,3
short_temp,4
short_temper,4
shudderi,3
shuddery,3
shy,3
shyli,3
shyly,3
shyness,3
sick,2
sick,4
sick_of,4
sicken,4
sickening,0
sickeningly,4
sickish,4
smug,1
smugness,1
soft_spot,1
soft-boil,1
soft-boiled,1
softheart,1
softhearted,1
softheartedness,1
solac,1
solace,1
somber,2
somberness,2
sooth,1
soothe,1
sore,2
sore,4
sorri,2
sorrow,2
sorrow,3
sorrowful,2
sorrowfully,2
sorrowfulness,2
sorrowing,2
sorry,2
sorry_for,2
spite,4
spiteful,4
spitefulness,4
spleen,4
stage_fright,3
stagger,1
staggering,1
stew,4
stimul,1
stimulating,1
strike,1
strike,4
stun,1
stung,4
stunned,1
stunned,3
stupefact,1
stupefaction,1
stupefi,1
stupefied,1
stupefy,1
stupefying,1
stupid,1
stupifi,1
stupify,1
suffer,2
suffering,0
sulk,4
sulki,4
sulkiness,4
sulky,4
sunni,1
sunny,1
superbl,1
superbly,1
surpris,1
surprise,1
surprise,3
surprised,1
surprisedly,1
surprising,1
surprisingly,1
suspens,1
suspens,3
suspense,1
suspense,3
suspenseful,1
suspenseful,3
suspensive,1
suspensive,3
sympathet,1
sympathetic,0
sympathetically,1
sympathi,1
sympathy,1
sympathy,2
tantal,4
tantalize,4
tantrum,4
tast,1
taste,1
tear,2
tearful,0
tearfulness,2
teas,1
teas,4
teased,1
teasing,3
teasing,4
temper,4
tender,1
tenderness,1
terribl,3
terrible,0
terrif,1
terrifi,3
terrific,1
terrific,2
terrifically,1
terrified,3
terror,3
the_green-eyed_monst,4
the_green-eyed_monster,4
thirstili,1
thirstily,1
thrill,1
thrill,3
thunderstruck,1
tickl,1
tickle,1
timid,2
timid,3
timidity,1
timidity,3
timidly,3
timidness,3
timor,3
timorous,3
timorously,3
timorousness,3
tired_of,4
titil,1
titillate,1
titillated,1
titillating,1
titillation,1
togeth,1
togetherness,1
top,1
toppingly,1
torment,0
tranc,1
trance,1
tremend,1
tremendous,1
trepid,3
trepidation,1
trepidation,3
trepidly,3
triumph,1
triumphal,1
triumphant,1
triumphantly,1
trounc,1
trounce,1
turn_off,4
tyrann,2
tyrannical,0
tyrannous,2
ugli,3
ugly,3
ugly,4
umbrag,4
umbrage,4
umbrageous,4
unassert,3
unassertive,3
unassertively,3
unassertiveness,3
uncheer,2
uncheerful,2
uncheerfulness,2
uneasili,3
uneasily,3
unhappi,2
unhappiness,2
unhappy,2
unhappy,4
unkind,0
unsur,3
unsure,3
unworri,1
unworried,1
uplift,1
uproari,1
uproarious,1
uproariously,1
urg,1
urge,1
urge_on,1
veng,4
vengefully,4
vengefulness,4
venom,3
venom,4
vex,4
vexat,4
vexati,4
vexation,4
vexatious,4
vexed,4
vexing,4
vile,4
vindict,4
vindictive,4
vindictively,4
vindictiveness,4
walk_on_air,1
wallow,0
warm,1
warmheart,1
warmhearted,1
warmheartedness,1
warmth,1
warpath,4
weak,1
weakness,1
weep,2
weepi,2
weepiness,2
weeping,2
weight,0
Weltschmerz,2
wick,4
wicked,3
wicked,4
with_empathi,1
with_empathy,1
with_happi,1
